SeriousDlqin2yrs,NumberOfTime30_59DaysPastDue1,util,age1,DebtRatio1,MonthlyIncome1,num_loans,depend
0,0,0.27953411,21,0.496993988,498,0,0
0,0,0.183816184,21,0.002221235,2250,0,0
0,0,0.007984032,21,0,2500,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,0,0.9999999,21,0,0,0,0
0,0,0.051948052,21,0.5,1,0,0
1,0,0.894211577,21,0.274502,0,0,0
1,0,0.9999999,21,0.274502,0,0,0
0,0,0.056911034,21,0.070929071,1000,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,1,0.9999999,21,0,898,0,0
0,1,0.9999999,21,0.436927179,6000,2,2
0,0,0,21,0,0,0,0
0,6,0.9999999,21,0,867,0,0
0,0,0.9999999,21,0,854,0,0
1,6,0.9999999,21,0,1400,0,0
1,6,0.9999999,21,0,3545,0,0
1,1,0.3037836,21,0.037533512,1118,0,0
0,0,0.369472183,21,0.274502,0,0,0
0,0,0,21,0,900,0,0
0,0,0.9999999,21,0,929,0,0
0,0,0.9999999,21,0.133244504,1500,0,0
1,6,0.9999999,21,0,2300,0,0
0,6,0.9999999,21,0,0,0,0
0,6,0.9999999,21,0,0,0,0
0,0,0.512479201,21,0.101460415,1300,0,0
1,6,0.9999999,21,0,1300,0,0
0,0,0.9999999,21,0,300,0,0
0,0,0.9999999,21,0.109459459,1479,0,0
0,0,0.9999999,21,0.072932331,1329,0,0
0,0,0.9999999,21,0,0,0,0
0,0,0.9999999,21,0,0,0,0
1,6,0.9999999,21,0,0,0,0
1,0,0.101123596,21,0.001458789,1370,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,0,0,21,0,820,0,0
0,0,0.289421158,21,0.001211754,3300,0,0
0,0,0,21,0,1,0,0
0,0,0,21,0,0,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,0,0.9999999,21,0,700,0,0
0,0,0,21,0.082795699,929,0,0
1,0,0.778443114,21,0.010989011,1000,0,0
0,1,0.996677741,21,0.005997001,2000,0,0
0,0,0,21,0,800,0,0
0,0,0.9999999,21,0,900,0,0
1,0,0.9999999,21,0.274502,0,0,0
0,0,0.652694611,21,0.178019982,1100,0,0
0,0,0.716566866,21,0.086378738,300,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,0,0.129353234,21,0,0,0,0
0,0,0.017964072,21,0,0,0,0
1,6,0.9999999,21,0,0,0,0
0,0,0.9999999,21,0,898,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,0,0.9999999,21,0,1000,0,0
0,0,0.9999999,21,0.274502,0,0,0
1,0,0.9999999,21,0,2600,0,0
0,6,0.9999999,21,0,0,0,0
0,6,0.9999999,21,0,0,0,0
0,0,0.375624376,21,0.036866359,650,0,0
0,0,0.9999999,21,0,820,0,0
0,0,0.9999999,21,0.274502,0,0,0
0,0,0.898203593,21,0.005369682,2420,0,0
0,6,0.9999999,22,0,0,0,0
0,1,0.3037836,22,0.191651969,1700,0,0
0,0,0.275718451,22,0.236085627,1634,0,0
0,1,0.343541944,22,0.009744214,820,0,0
0,0,0.9999999,22,0,0,0,0
0,0,0.9999999,22,0.055398302,4945,0,0
0,0,0.9999999,22,0.201865423,1500,0,0
0,0,0.007194245,22,0,0,0,0
0,0,0.532934132,22,0.394014963,400,0,0
0,6,0.9999999,22,0,0,0,0
0,0,0,22,0.012180268,820,0,0
1,1,0.3037836,22,0.013493253,2000,0,0
1,0,0.9999999,22,0.310047847,1044,0,1
1,0,0.089871612,22,0.002217295,450,0,0
1,0,0.9999999,22,0.004497751,2000,0,0
1,0,0.341639748,22,0.074423771,3600,0,0
0,0,0.416194602,22,0.014993753,2400,0,0
0,0,0.503499611,22,0.08994004,1500,0,0
0,0,0.9999999,22,0.274502,0,0,0
0,0,0.590818363,22,0.274502,0,0,0
0,0,0.335329341,22,0.274502,0,0,0
0,0,0.396377838,22,0.281599059,1700,0,0
0,0,0.304898367,22,0.196535643,1500,0,0
0,0,0,22,0,929,0,0
0,0,0,22,0.007984032,500,0,0
1,0,0.60412637,22,0.163047225,2900,0,3
1,0,0.195234435,22,0.002499107,2800,0,0
0,0,0.043978011,22,0.274502,0,0,0
0,0,0.229180546,22,0.274502,0,0,0
0,0,0.9999999,22,0.274502,0,0,0
0,0,0,22,0,820,0,0
0,0,0,22,0,1,0,0
0,0,0.922155689,22,0.274502,0,0,0
0,0,0,22,0,0,0,0
0,0,0.9999999,22,0,0,0,0
0,0,0.9999999,22,0.066466767,2000,0,0
0,0,0.9999999,22,0.262172285,800,0,0
0,0,0.939060939,22,0.017489069,1600,0,1
0,0,0.3037836,22,0.274502,0,0,0
0,0,0,22,0,929,0,0
0,0,0.9999999,22,0,0,0,0
0,0,0.953046953,22,0.274502,0,0,0
0,0,0.407296352,22,0.024731183,929,0,0
1,0,0.9999999,22,0.274502,0,0,0
1,0,0.3037836,22,0.274502,0,0,0
1,3,0.562125107,22,0.426758939,2600,0,2
0,0,0.183883672,22,0.018813906,2444,0,0
0,0,0,22,0.008526188,820,0,0
0,0,0.842315369,22,0.227982511,1600,0,0
0,3,0.926147705,22,0.274502,820,1,0
0,0,0.9999999,22,0.274502,0,0,0
0,0,0.027315123,22,0.072302558,898,0,0
0,0,0.038640906,22,0.001996008,500,0,0
0,0,0.790131168,22,0.054854981,1585,0,0
0,1,0.3037836,22,0.131381649,2800,0,0
0,0,0,22,0,1000,0,0
0,0,0.9999999,22,0.042735043,350,0,0
0,0,0.017474032,22,0.274502,0,0,0
0,0,0.9999999,22,0,0,0,0
0,0,0,22,0,820,0,0
0,6,0.9999999,22,0,4500,0,0
1,0,0.765234765,22,0.014656895,1500,0,0
0,0,0.9999999,22,0,0,0,0
0,0,0.654859219,22,0.142605116,3400,0,1
0,0,0.095904096,22,0.002150538,929,0,0
0,0,0,22,0,898,0,0
0,0,0.771228771,22,0.274502,0,0,0
0,0,0,22,0,2713,0,0
0,0,0.9999999,22,0,600,0,0
0,0,0.9999999,22,0.177277179,1020,0,0
0,0,0.062987403,22,0.016605166,541,0,0
0,0,0.9999999,22,0,929,0,0
0,0,0.121646392,22,0.37232525,700,0,0
0,0,0.040959041,22,1,0,0,0
0,0,0.0499002,22,0,0,0,0
0,0,0.060939061,22,0.000479846,2083,0,0
0,0,0.038961039,22,1,0,0,0
0,0,0.043956044,22,0.001218027,820,0,0
0,0,0.9999999,22,0.096423017,4500,0,0
1,1,0.3037836,22,0.274502,0,0,0
1,1,0.9999999,22,0.075949367,1500,0,0
1,6,0.9999999,22,0,0,0,0
1,0,0.992403039,22,0.029588165,2500,0,0
0,1,0.499017682,22,0.11898017,6000,0,0
