AGE	CRED	MS	HEQ	INCOME	DEPC	MOB	MILEAGE	RESTYPE	GENDER	EMP_STA	RES_STA	DELINQ	NUMTR	MRTGI	MFDU	resp	female	HOME	CONDO	COOP	renter	emp1	emp2	msn	cuscode
20	543	U	0.1	20	N	Y	14.418	HOME	M	1,2	1,2	0	2	N	0	0	0	1	0	0	1	1	0	0	1
18	445	U	0.1	20	N	Y	0.311	HOME	M	0	1,2	2	2	Y	0	0	0	1	0	0	1	0	0	0	2
19	423	U	0.1	20	N	N	17.876	HOME	M	1,2	1,2	1	0	Y	0	0	0	1	0	0	1	1	0	0	3
18	416	X	0.1	20	N	Y	17.084	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	0	4
18	522	U	0.1	20	Y	Y	16.51	HOME	F	1,2	1,2	1	0	Y	0	0	1	1	0	0	1	1	0	0	5
19	467	U	0.1	20	Y	N	16.239	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	0	6
19	334	X	0.1	20	N	Y	8.743	RENTER	M	1,2	1,2	0	1	N	1	1	0	0	0	0	1	1	0	0	7
20	519	U	0.1	20	N	Y	13.82	HOME	M	1,2	1,2	4	3	U	0	0	0	1	0	0	1	1	0	0	8
19	480	M	0.1	20	N	Y	15.132	RENTER	M	3+	1,2	4	1	N	1	0	0	0	0	0	1	0	1	1	9
19	309	U	0.1	20	Y	Y	19.472	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	0	10
19	416	U	0.1	20	N	Y	10.702	HOME	M	1,2	1,2	1	1	Y	0	0	0	1	0	0	1	1	0	0	11
19	467	U	0.1	20	Y	N	9.839	RENTER	M	1,2	1,2	0	4	N	1	0	0	0	0	0	1	1	0	0	12
18	308	U	0.1	20	N	N	12.083	HOME	M	3+	1,2	0	2	Y	0	0	0	1	0	0	1	0	1	0	13
19	368	U	0.1	20	N	N	16.381	HOME	M	0	1,2	1	0	U	0	0	0	1	0	0	1	0	0	0	14
18	378	M	0.1	20	Y	Y	19.58	HOME	M	1,2	1,2	0	1	N	0	0	0	1	0	0	1	1	0	1	15
19	459	U	0.1	20	Y	Y	6.861	HOME	F	1,2	1,2	2	0	Y	0	1	1	1	0	0	1	1	0	0	16
18	431	U	0.1	20	Y	Y	18.552	HOME	M	3+	1,2	0	1	N	0	1	0	1	0	0	1	0	1	0	17
19	509	M	0.1	30	N	Y	9.492	HOME	M	1,2	1,2	0	3	Y	0	0	0	1	0	0	1	1	0	1	18
20	512	U	0.1	20	N	N	15.122	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	19
18	391	U	0.1	20	N	N	13.611	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	0	20
18	375	U	0.1	20	Y	Y	14.901	CONDO	M	1,2	1,2	0	0	Y	1	0	0	0	1	0	1	1	0	0	21
19	336	U	0.1	20	Y	Y	18.53	HOME	M	1,2	1,2	1	0	Y	0	0	0	1	0	0	1	1	0	0	22
