AGE,CRED,MS,HEQ,INCOME,DEPC,MOB,MILEAGE,RESTYPE,GENDER,EMP_STA,RES_STA,DELINQ,NUMTR,MRTGI,MFDU,resp
20,543.0,U,0.1,20,N,Y,14.418,HOME,M,"1,2","1,2",0,2,N,0,0
18,445.0,U,0.1,20,N,Y,0.311,HOME,M,0,"1,2",2,2,Y,0,0
19,423.0,U,0.1,20,N,N,17.875999999999998,HOME,M,"1,2","1,2",1,0,Y,0,0
18,416.0,X,0.1,20,N,Y,17.084,HOME,F,"1,2","1,2",0,0,Y,0,0
18,522.0,U,0.1,20,Y,Y,16.51,HOME,F,"1,2","1,2",1,0,Y,0,0
19,467.0,U,0.1,20,Y,N,16.239,HOME,F,"1,2","1,2",0,0,Y,0,0
19,334.0,X,0.1,20,N,Y,8.743,RENTER,M,"1,2","1,2",0,1,N,1,1
20,519.0,U,0.1,20,N,Y,13.82,HOME,M,"1,2","1,2",4,3,U,0,0
19,480.0,M,0.1,20,N,Y,15.132,RENTER,M,3+,"1,2",4,1,N,1,0
19,309.0,U,0.1,20,Y,Y,19.472,HOME,M,"1,2","1,2",0,0,Y,0,0
19,416.0,U,0.1,20,N,Y,10.702,HOME,M,"1,2","1,2",1,1,Y,0,0
19,467.0,U,0.1,20,Y,N,9.839,RENTER,M,"1,2","1,2",0,4,N,1,0
18,308.0,U,0.1,20,N,N,12.083,HOME,M,3+,"1,2",0,2,Y,0,0
19,368.0,U,0.1,20,N,N,16.381,HOME,M,0,"1,2",1,0,U,0,0
18,378.0,M,0.1,20,Y,Y,19.58,HOME,M,"1,2","1,2",0,1,N,0,0
19,459.0,U,0.1,20,Y,Y,6.861000000000001,HOME,F,"1,2","1,2",2,0,Y,0,1
18,431.0,U,0.1,20,Y,Y,18.552,HOME,M,3+,"1,2",0,1,N,0,1
19,509.0,M,0.1,30,N,Y,9.492,HOME,M,"1,2","1,2",0,3,Y,0,0
20,512.0,U,0.1,20,N,N,15.122,RENTER,M,"1,2","1,2",0,0,N,1,0
18,391.0,U,0.1,20,N,N,13.610999999999999,HOME,M,"1,2","1,2",0,0,Y,0,0
18,375.0,U,0.1,20,Y,Y,14.901,CONDO,M,"1,2","1,2",0,0,Y,1,0
