Cust_num,Region,Age,Order_Quantity,Customer_Type,Overall_Satisfaction
1,1,45,24,Prime,Dis Satisfied
2,0,20,75,Prime,Satisfied
3,0,28,70,Prime,Satisfied
4,0,66,28,Prime,Dis Satisfied
5,1,22,39,Prime,Satisfied
6,0,19,50,Prime,Satisfied
7,1,37,74,Prime,Satisfied
8,1,57,22,Non_Prime,Dis Satisfied
9,1,39,58,Prime,Satisfied
10,0,21,50,Prime,Satisfied
11,0,32,34,Prime,Satisfied
12,1,43,6,Non_Prime,Dis Satisfied
13,1,43,20,Prime,Dis Satisfied
14,0,43,75,Prime,Satisfied
15,0,32,6,Non_Prime,Dis Satisfied
16,1,30,73,Prime,Satisfied
17,1,69,10,Non_Prime,Dis Satisfied
18,0,33,38,Prime,Dis Satisfied
19,0,36,41,Prime,Satisfied
20,1,44,47,Prime,Satisfied
21,1,30,77,Prime,Satisfied
22,0,46,20,Non_Prime,Dis Satisfied
23,0,42,19,Non_Prime,Dis Satisfied
24,1,33,30,Non_Prime,Dis Satisfied
25,1,19,35,Prime,Satisfied
26,0,22,80,Prime,Satisfied
27,0,37,52,Prime,Satisfied
28,1,35,19,Non_Prime,Dis Satisfied
29,0,59,37,Prime,Dis Satisfied
30,1,25,33,Prime,Satisfied
31,1,40,77,Prime,Satisfied
32,1,33,22,Non_Prime,Dis Satisfied
33,0,58,12,Prime,Dis Satisfied
34,1,47,9,Non_Prime,Dis Satisfied
35,0,29,35,Prime,Satisfied
36,0,49,16,Prime,Dis Satisfied
37,0,41,55,Non_Prime,Satisfied
38,1,31,48,Prime,Satisfied
39,0,34,24,Non_Prime,Dis Satisfied
40,1,35,20,Non_Prime,Dis Satisfied
41,1,24,59,Prime,Satisfied
42,1,33,49,Prime,Satisfied
43,0,23,50,Prime,Satisfied
44,0,38,29,Prime,Dis Satisfied
45,0,40,7,Non_Prime,Dis Satisfied
46,0,47,21,Non_Prime,Dis Satisfied
47,0,22,64,Non_Prime,Satisfied
48,1,35,79,Prime,Satisfied
49,1,43,74,Prime,Satisfied
50,1,67,27,Prime,Dis Satisfied
51,0,38,16,Prime,Dis Satisfied
52,0,19,30,Prime,Satisfied
53,1,22,66,Prime,Satisfied
54,1,20,71,Prime,Satisfied
55,1,63,9,Non_Prime,Dis Satisfied
56,1,38,91,Prime,Satisfied
57,0,55,7,Non_Prime,Dis Satisfied
58,1,55,6,Non_Prime,Dis Satisfied
59,0,42,10,Non_Prime,Dis Satisfied
60,1,67,31,Non_Prime,Dis Satisfied
61,1,20,94,Prime,Dis Satisfied
62,0,54,12,Non_Prime,Satisfied
63,1,25,34,Prime,Dis Satisfied
64,0,52,28,Prime,Satisfied
65,1,41,35,Prime,Dis Satisfied
66,0,20,52,Prime,Dis Satisfied
67,1,63,17,Prime,Satisfied
68,1,40,97,Prime,Satisfied
69,0,49,32,Prime,Satisfied
70,1,66,34,Non_Prime,Dis Satisfied
71,0,47,31,Prime,Dis Satisfied
72,0,37,46,Prime,Dis Satisfied
73,1,45,35,Non_Prime,Satisfied
74,1,46,35,Prime,Satisfied
75,0,44,22,Non_Prime,Dis Satisfied
76,0,22,79,Prime,Satisfied
77,1,31,63,Prime,Satisfied
78,0,65,13,Prime,Dis Satisfied
79,0,35,83,Prime,Satisfied
80,1,35,62,Prime,Satisfied
81,1,39,60,Non_Prime,Satisfied
82,0,65,38,Prime,Dis Satisfied
83,1,44,9,Prime,Dis Satisfied
84,0,65,23,Non_Prime,Dis Satisfied
85,1,42,46,Prime,Satisfied
86,1,44,73,Non_Prime,Satisfied
87,1,56,40,Prime,Satisfied
88,0,27,56,Prime,Satisfied
89,0,59,18,Non_Prime,Satisfied
90,1,28,67,Prime,Satisfied
91,1,52,38,Non_Prime,Satisfied
92,0,44,18,Prime,Satisfied
93,1,66,5,Prime,Satisfied
94,0,42,44,Prime,Satisfied
95,0,40,94,Prime,Satisfied
96,1,43,83,Prime,Satisfied
97,1,36,33,Non_Prime,Satisfied
98,0,35,6,Prime,Satisfied
99,1,57,16,Prime,Dis Satisfied
100,0,21,57,Prime,Satisfied
101,1,36,72,Prime,Satisfied
102,1,39,37,Prime,Dis Satisfied
103,0,66,38,Non_Prime,Dis Satisfied
104,1,33,53,Prime,Satisfied
105,1,19,96,Non_Prime,Satisfied
106,1,35,22,Non_Prime,Dis Satisfied
107,1,53,21,Non_Prime,Dis Satisfied
108,1,42,11,Non_Prime,Dis Satisfied
109,0,62,38,Non_Prime,Dis Satisfied
110,1,25,86,Non_Prime,Satisfied
111,1,42,21,Prime,Dis Satisfied
112,1,51,29,Prime,Dis Satisfied
113,1,50,22,Non_Prime,Dis Satisfied
114,0,44,26,Non_Prime,Dis Satisfied
115,1,31,97,Prime,Satisfied
116,0,43,91,Prime,Satisfied
117,1,41,71,Prime,Satisfied
118,1,65,23,Non_Prime,Dis Satisfied
119,0,58,13,Prime,Dis Satisfied
120,1,23,50,Prime,Satisfied
121,0,31,11,Prime,Dis Satisfied
122,1,69,10,Prime,Dis Satisfied
123,0,48,12,Prime,Dis Satisfied
124,0,45,40,Non_Prime,Dis Satisfied
125,0,18,70,Prime,Satisfied
126,1,58,25,Non_Prime,Dis Satisfied
127,0,21,90,Non_Prime,Satisfied
128,0,32,65,Non_Prime,Satisfied
129,0,37,43,Prime,Satisfied
130,0,58,14,Prime,Dis Satisfied
131,1,40,91,Prime,Satisfied
132,0,59,38,Non_Prime,Dis Satisfied
133,1,36,30,Prime,Satisfied
134,1,38,93,Prime,Satisfied
135,0,43,76,Prime,Satisfied
136,0,44,75,Prime,Dis Satisfied
137,1,36,64,Non_Prime,Dis Satisfied
138,1,54,38,Non_Prime,Satisfied
139,0,50,13,Prime,Dis Satisfied
140,1,21,95,Non_Prime,Satisfied
141,1,55,29,Non_Prime,Dis Satisfied
142,1,43,23,Non_Prime,Dis Satisfied
143,0,50,24,Non_Prime,Satisfied
144,0,42,22,Non_Prime,Satisfied
145,0,28,54,Prime,Satisfied
146,0,39,53,Prime,Dis Satisfied
147,1,64,22,Non_Prime,Dis Satisfied
148,0,65,35,Non_Prime,Dis Satisfied
149,0,18,31,Non_Prime,Satisfied
150,0,46,33,Prime,Satisfied
151,0,20,35,Prime,Satisfied
152,0,50,15,Non_Prime,Dis Satisfied
153,1,62,14,Non_Prime,Dis Satisfied
154,1,69,21,Prime,Dis Satisfied
155,0,19,100,Prime,Satisfied
156,0,34,33,Non_Prime,Dis Satisfied
157,0,44,12,Prime,Dis Satisfied
158,1,38,62,Non_Prime,Satisfied
159,0,32,38,Prime,Satisfied
160,0,57,37,Non_Prime,Dis Satisfied
161,1,35,16,Non_Prime,Dis Satisfied
162,1,45,24,Non_Prime,Dis Satisfied
163,0,68,5,Prime,Dis Satisfied
164,0,59,18,Non_Prime,Dis Satisfied
165,0,34,29,Non_Prime,Dis Satisfied
166,0,46,27,Non_Prime,Dis Satisfied
167,1,41,27,Non_Prime,Dis Satisfied
168,0,43,95,Prime,Satisfied
169,1,64,6,Non_Prime,Dis Satisfied
170,1,37,69,Prime,Satisfied
171,1,32,34,Prime,Dis Satisfied
172,1,32,75,Non_Prime,Satisfied
173,1,52,13,Non_Prime,Dis Satisfied
174,0,23,92,Prime,Satisfied
175,1,69,39,Prime,Dis Satisfied
