active_cust,income,months_on_network,Num_complaints,number_plan_changes,relocated,monthly_bill,technical_issues_per_month,Speed_test_result
0,1586,85,4,1,0,121,4,85
0,1581,85,4,1,0,133,4,85
0,1594,82,4,1,0,118,4,85
0,1594,82,4,1,0,123,4,85
1,1609,80,4,1,0,177,4,85
1,1601,80,4,1,0,31,4,85
1,1598,81,4,1,0,126,4,85
1,1597,81,4,1,0,30,4,85
1,1604,81,4,1,0,49,4,85
1,1605,81,4,1,0,35,4,85
1,1608,81,4,1,0,34,4,85
1,1612,80,4,1,0,46,4,85
0,1625,78,4,1,0,37,4,85
1,1610,80,4,1,0,47,4,85
1,1619,78,4,1,0,78,4,85
1,1626,77,4,1,0,37,4,85
1,1626,77,4,1,0,178,4,85
1,1628,77,4,1,0,125,4,85
1,1633,77,4,1,0,125,4,85
1,1634,76,4,1,0,39,4,85
1,1637,75,4,1,0,40,4,85
1,1623,78,4,1,0,42,4,85
1,1626,77,4,1,0,43,4,85
1,1627,77,4,1,0,126,4,85
1,1623,78,4,1,0,81,4,85
1,1609,79,4,1,0,33,4,85
1,1610,79,4,1,0,82,4,85
1,1632,77,4,1,0,118,4,85
1,1634,77,4,1,0,123,4,85
0,1618,79,4,1,0,33,4,85
0,1600,82,4,1,0,130,4,85
0,1591,83,4,1,0,178,4,85
1,1601,81,4,1,0,85,4,85
1,1607,81,4,1,0,82,4,85
0,1594,83,4,1,0,125,4,85
1,1590,83,4,1,0,82,4,85
1,1578,86,4,1,0,93,4,85
1,1576,86,4,1,0,89,4,85
1,1589,83,4,1,0,178,4,85
1,1593,83,4,1,0,93,4,85
1,1563,88,4,1,0,39,4,85
1,1562,87,4,1,0,40,4,85
1,1580,85,4,1,0,34,4,85
1,1559,88,4,1,0,32,4,85
1,1566,88,4,1,0,48,4,85
1,1566,87,4,1,0,40,4,85
1,1569,87,4,1,0,33,4,85
1,1573,86,4,1,0,44,4,85
1,1584,85,4,1,0,33,4,85
1,1622,78,4,1,0,49,4,85
1,1634,77,4,1,0,45,4,85
1,1618,78,4,1,0,40,4,85
1,1625,77,4,1,0,42,4,85
0,1648,74,4,1,0,48,4,85
0,1657,73,4,1,0,128,4,85
0,1650,73,4,1,0,165,4,85
1,1644,75,4,1,0,89,4,85
1,1639,76,4,1,0,164,4,85
1,1641,76,4,1,0,163,4,85
1,1637,75,4,1,0,158,4,85
1,1604,81,4,1,0,166,4,85
1,1609,81,4,1,0,175,4,85
1,1603,81,4,1,0,171,4,85
1,1601,80,4,1,0,177,4,85
1,1602,82,4,1,0,169,4,85
1,1595,82,4,1,0,175,4,85
1,1593,82,4,1,0,169,4,85
1,1594,84,4,1,0,178,4,85
1,1593,83,4,1,0,165,4,85
