active_cust,income,months_on_network,Num_complaints,number_plan_changes,relocated,monthly_bill,technical_issues_per_month,Speed_test_result
0,1586,85,6,1,0,42,3,52
0,1581,85,6,1,0,66,4,66
0,1594,82,4,1,0,36,4,74
0,1594,82,5,1,0,37,4,67
1,1609,80,10,1,0,85,4,48
1,1601,80,5,1,0,29,4,56
1,1598,81,8,1,0,48,3,51
1,1597,81,10,1,0,67,3,33
1,1604,81,6,1,0,31,4,31
1,1605,81,10,1,0,21,3,72
1,1608,81,8,1,0,33,3,22
1,1612,80,10,1,0,94,3,51
0,1625,78,4,1,0,89,3,51
1,1610,80,6,1,0,99,3,68
1,1619,78,5,1,0,16,4,50
1,1626,77,6,1,0,86,4,24
1,1626,77,10,1,0,14,3,59
1,1628,77,9,1,0,71,4,35
1,1633,77,7,1,0,20,3,18
1,1634,76,7,1,0,45,3,68
1,1637,75,9,1,0,63,3,50
1,1623,78,8,1,0,14,4,50
1,1626,77,7,1,0,18,4,50
1,1627,77,8,1,0,68,3,37
1,1623,78,6,1,0,30,3,68
1,1609,79,7,1,0,97,3,41
1,1610,79,8,1,0,29,3,70
1,1632,77,9,1,0,84,4,49
1,1634,77,6,1,0,26,3,27
0,1618,79,0,1,0,18,3,86
0,1600,82,1,1,0,86,4,77
0,1591,83,3,1,0,26,4,76
1,1601,81,9,1,0,40,3,73
1,1607,81,10,1,0,87,3,50
0,1594,83,6,1,0,76,4,45
1,1590,83,10,1,0,53,4,41
1,1578,86,7,1,0,28,3,42
1,1576,86,7,1,0,43,3,64
1,1589,83,9,1,0,32,4,60
1,1593,83,5,1,0,51,4,65
1,1563,88,6,1,0,46,3,40
1,1562,87,5,1,0,29,4,22
1,1580,85,10,1,0,18,4,28
1,1559,88,8,1,0,92,4,45
1,1566,88,10,1,0,98,4,67
1,1566,87,7,1,0,85,3,56
1,1569,87,8,1,0,11,4,28
1,1573,86,8,1,0,79,4,23
1,1584,85,7,1,0,21,4,52
1,1622,78,5,1,0,55,4,19
1,1634,77,10,1,0,85,4,40
1,1618,78,10,1,0,72,3,70
1,1625,77,6,1,0,99,4,60
0,1648,74,8,1,0,68,3,72
0,1657,73,2,1,0,100,3,66
0,1650,73,7,1,0,82,3,40
1,1644,75,10,1,0,75,3,17
1,1639,76,7,1,0,59,4,44
1,1641,76,7,1,0,59,3,45
1,1637,75,8,1,0,27,4,62
1,1604,81,5,1,0,91,4,30
1,1609,81,5,1,0,24,4,44
1,1603,81,10,1,0,24,3,71
1,1601,80,10,1,0,23,4,61
1,1602,82,10,1,0,35,3,68
1,1595,82,9,1,0,42,3,27
1,1593,82,8,1,0,16,3,55
1,1594,84,6,1,0,71,4,48
1,1593,83,9,1,0,59,3,66
1,1592,83,7,1,0,50,4,74
1,1585,83,8,1,0,95,4,26
1,1592,83,10,1,0,59,3,37
1,1634,76,9,1,1,31,4,22
1,1629,76,6,1,1,46,3,48
1,1702,66,6,1,0,56,3,38
1,1742,62,10,1,0,55,4,71
1,1737,63,7,1,0,100,3,67
1,1730,63,8,1,0,76,4,41
1,1713,65,5,1,0,92,4,18
1,1666,72,6,1,0,56,3,49
1,1647,73,5,1,0,18,4,70
1,1624,77,5,1,0,68,4,44
1,1629,76,8,1,0,65,3,15
1,1614,79,6,1,0,36,3,71
1,1610,80,8,1,0,51,4,32
1,1610,80,9,1,0,28,4,69
1,1611,80,9,1,0,27,3,37
1,1613,80,7,1,0,12,3,58
1,1597,81,9,1,0,93,4,65
1,1594,82,7,1,0,29,4,31
1,1599,82,9,1,0,69,4,15
1,1594,83,7,1,0,55,4,56
1,1594,82,8,1,0,50,4,54
1,1596,83,6,1,0,83,3,31
1,1588,83,7,1,0,38,4,58
1,1639,75,7,1,0,28,3,66
1,1661,72,10,1,0,97,3,43
1,1661,73,8,1,0,100,4,37
1,1662,72,9,1,0,74,4,46
1,1649,73,6,1,0,44,3,19
1,1705,66,5,1,0,31,3,60
1,1661,72,6,1,0,82,3,46
1,1647,73,9,1,0,61,3,62
1,1652,73,7,1,0,81,4,47
1,1604,80,7,1,0,51,3,67
1,1607,81,7,1,0,96,4,54
1,1607,80,10,1,0,83,4,65
1,1606,79,6,1,0,25,4,75
0,1610,80,0,1,0,86,3,89
0,1607,80,2,1,0,71,4,86
1,1610,80,8,1,0,94,3,57
0,1636,75,7,1,0,53,3,67
0,1636,76,1,1,0,93,4,78
1,1629,76,7,1,0,14,3,67
1,1621,78,7,1,0,12,3,15
1,1616,78,7,1,0,36,4,50
1,1633,76,5,1,0,47,3,43
1,1678,70,10,1,0,30,4,38
1,1640,75,8,1,0,86,3,46
1,1637,75,6,1,0,51,3,71
1,1649,74,5,1,0,77,3,45
1,1642,74,7,1,0,97,3,49
1,1622,78,7,1,0,35,4,42
1,1625,77,8,1,0,53,3,50
1,1607,81,9,1,0,60,3,41
1,1605,81,9,1,0,17,3,19
1,1605,80,5,1,0,45,4,42
1,1617,78,5,1,0,95,4,27
1,1606,80,10,1,0,80,4,73
1,1623,78,9,1,0,71,3,64
1,1614,78,7,1,0,20,3,57
0,1620,79,5,1,0,15,4,80
