Week_num,Leads,Promotion_Budget
1,756.48,51735.6
2,878.72,64608.6
3,857.92,63833
4,715.84,50649.2
5,772.48,60965.8
6,714.88,47608.4
7,815.04,63597.8
8,691.84,49515.2
9,702.72,42980
10,866.56,61332.6
11,699.2,49275.8
12,889.28,60072.6
13,729.28,45696
14,889.28,58609.6
15,1037.76,70480.2
16,736,53697
17,973.76,74230.8
18,749.12,50023.4
19,896,57068.2
20,1120.64,82642
21,1176,76104
22,1148.8,75346.6
23,655.04,50271.2
24,868.48,65385.6
25,919.36,70674.8
26,776.32,53260.2
27,703.36,51807
28,689.92,53937.8
29,684.16,41412
30,886.4,65333.8
31,736,47217.8
32,958.72,62008.8
33,920,68660.2
34,655.04,52479
35,710.4,55001.8
36,864,56350
37,927.04,64118.6
38,857.6,57174.6
39,726.08,46547.2
40,752,59511.2
41,939.2,67228
42,907.52,57484
43,608.64,37395.4
44,577.92,36568
45,645.44,41637.4
46,758.72,51154.6
47,668.16,48696.2
48,861.76,65871.4
49,805.44,63128.8
50,809.28,57325.8
51,874.56,59049.2
52,940.8,69456.8
53,690.24,49344.4
54,1152,78171.8
55,721.28,52616.2
56,987.84,70707
57,847.56,54551
58,771.68,55517
59,574,40591.6
60,1103.2,73879.4
61,1049.44,66677.8
62,1089.48,71549.8
63,1084.44,75441.8
64,1468.88,101213
65,1342.6,100300.2
66,799.68,58952.6
67,839.44,55087.2
68,874.44,65268
69,1539.44,104179.6
70,1163.12,88181.8
71,1046.08,67993.8
72,1530.48,102445
73,1212.4,84457.8
74,640.36,44542.4
75,1036.28,66914.4
76,1338.68,92769.6
77,1624.56,110825.4
78,865.76,63816.2
79,876.68,63663.6
80,817.04,57500.8
