Count_of_Loans,Count_of_Late_Payments,Count_of_Loan_Enquiries,Existing_Loan_Balance,Credit_History_Length_Years,Defaulter
7,0,2,984752.39,22,0
4,3,4,710997.74,5,1
8,1,3,622958.38,16,1
5,4,1,948643.71,16,0
7,7,2,1197951.28,3,1
10,1,2,458823.98,21,1
3,2,8,281202.88,18,1
7,5,1,1621986.24,14,1
8,3,5,1383629.17,5,1
5,3,4,771681.51,24,1
4,4,2,1315506.88,6,1
8,2,1,1640988.19,12,1
8,3,6,189317.67,14,1
3,3,1,386809.68,24,0
6,2,4,961363.9,11,0
5,5,1,889213.96,11,1
2,6,2,790915.31,13,1
8,4,5,619422.07,8,1
6,1,2,119817.55,4,1
2,3,2,1010523.77,25,0
5,1,3,414327.65,15,0
1,3,5,1083897.64,12,1
10,1,7,720790.51,19,1
6,3,6,783242.66,4,1
9,2,4,966037.32,20,1
1,2,0,626894.62,16,1
10,1,4,429326.84,10,1
3,4,2,824414.23,18,1
7,5,5,1321903.53,3,1
4,1,5,548743.83,13,1
9,1,2,389479.47,16,0
3,3,1,730886.97,13,0
5,4,3,425930.48,22,1
3,4,2,823591.51,13,1
7,4,1,711581.02,22,1
5,1,0,133176.4,9,0
9,1,4,1098346.98,22,0
7,3,1,374982.73,21,0
2,4,3,280099.33,11,1
4,2,3,1197067.81,17,0
9,0,7,99444.55,12,1
2,1,3,270646.54,5,1
10,2,3,690961.99,15,1
9,3,4,755501.08,2,1
10,0,3,1454288.75,14,1
5,1,3,632390.57,22,0
2,3,3,563295.87,19,0
4,4,3,1287093.83,11,1
7,3,2,181811.73,25,0
8,3,1,344832.52,8,1
3,2,1,1087005.53,14,1
1,3,1,425099.06,16,0
4,0,1,714976.75,2,1
2,4,2,1158355.36,5,1
8,3,6,764049.34,12,1
4,3,5,1522619.67,10,1
2,2,3,813809.75,15,1
6,2,7,365026.24,13,1
6,0,4,1149401.93,24,0
10,0,4,319124.22,6,0
4,3,2,1568216.7,14,0
6,6,4,579725.21,10,1
2,1,5,1441675.85,12,1
10,1,2,753961.19,10,1
2,0,3,397519.37,21,0
10,2,4,1127493.98,10,1
4,2,2,1576908.62,25,0
8,4,6,1205892.41,19,1
7,3,4,473460.6,18,1
9,3,3,1047772.08,3,1
8,0,3,50000.0,20,0
5,2,2,1319042.02,3,1
2,1,2,910925.24,8,1
5,1,3,124588.8,1,1
8,7,4,863704.67,21,1
