Customer_ID,Age,Gender,City_Tier,Income_Bracket,New_Customer_Flag,Past_Year_Spend,Purchase_Frequency,Avg_Order_Value,Days_Since_Last_Purchase,Spend_Last_3_Months,Orders_Last_3_Months,Avg_Discount_Percentage,Coupon_Usage_Rate,Full_Price_Purchase_Rate,Price_Sensitivity_Score,Size_Return_Rate,Overall_Return_Rate,Exchange_Rate,Avg_Delivery_Days,Delivery_SLA_Breach_Rate,Customer_Support_Tickets_Last_6M,App_Sessions_Per_Week,Wishlist_Adds_Per_Month,Cart_Abandonment_Rate,Push_Opt_In_Flag,Influencer_Click_Through,Email_Open_Rate,Ad_Impressions_Last_30D,Paid_Clicks_Last_30D,Occasion_Purchase_Index,Style_Pref_Casual,Style_Pref_Ethnic,Style_Pref_Streetwear,Style_Pref_Luxury,Category_Diversity,Brand_Diversity,Seasonality_Index,Total_Spend_Next_12_Months
1,35,Female,2,Mid,0,8361.02,4,2060.19,337,0.0,0,33.08,0.1771,0.6217,0.4004,0.0494,0.0512,0.1967,3.71,0.2169,0,3.46,5,0.6344,0,0.1411,0.3169,98,0,Casual,0.2863,0.1708,0.415,0.1279,2,7,0.4829,5965.56
2,21,Male,2,High,0,1205.5,2,867.25,122,0.0,0,47.17,0.104,0.3613,0.1891,0.4338,0.3512,0.216,6.76,0.1185,1,7.79,4,0.4263,1,0.1439,0.2194,228,3,Casual,0.189,0.1616,0.4267,0.2227,1,2,0.3756,2945.82
3,49,Female,1,Low,0,9162.55,10,986.19,248,1086.16,2,32.37,0.0708,0.6921,0.3648,0.2446,0.2669,0.129,3.19,0.212,1,4.49,3,0.5786,1,0.1297,0.1469,208,3,Casual,0.3227,0.2661,0.3399,0.0712,5,3,0.9364,4974.31
4,20,Female,1,Low,1,2681.15,1,1844.44,20,0.0,0,24.68,0.3079,0.6026,0.5597,0.1271,0.0867,0.0701,3.58,0.1255,1,6.33,0,0.3393,1,0.0723,0.2471,234,4,Casual,0.3235,0.3103,0.1449,0.2213,4,2,0.8226,4267.84
5,37,Male,1,Mid,0,0.0,1,1219.23,84,572.74,0,30.69,0.4876,0.6035,0.4337,0.0825,0.0825,0.0425,3.64,0.1047,0,5.36,6,0.3883,1,0.1685,0.4664,178,3,Festive,0.1293,0.5078,0.1575,0.2054,1,5,0.2762,3574.49
6,39,Female,1,Mid,0,8882.69,4,2070.58,236,391.32,0,35.25,0.2202,0.4656,0.6467,0.0479,0.069,0.2219,1.0,0.0,0,7.79,2,0.6869,1,0.0912,0.523,146,0,Formal,0.0464,0.159,0.0237,0.771,1,1,0.6028,8773.4
7,18,Female,2,Mid,0,2242.39,2,1690.32,11,1999.11,1,24.74,0.2475,0.6292,0.4184,0.143,0.173,0.0913,6.34,0.1134,0,5.22,1,0.8322,0,0.0372,0.7969,47,0,Casual,0.7168,0.1769,0.0754,0.0309,4,2,0.7265,2974.58
8,25,Female,3,Mid,1,2022.17,2,1837.73,28,1505.83,1,24.89,0.5896,0.5469,0.6218,0.0705,0.0486,0.1079,3.7,0.0654,1,4.9,4,0.1643,0,0.0954,0.0721,130,1,Casual,0.2973,0.3734,0.1327,0.1967,3,1,0.1918,3815.21
9,27,Male,1,Mid,0,3297.55,1,1908.12,361,0.0,0,24.5,0.3365,0.5797,0.4652,0.0262,0.0548,0.1831,4.63,0.1295,1,7.76,2,0.1411,1,0.1868,0.1445,116,1,Formal,0.7287,0.1262,0.0635,0.0816,1,3,0.3412,4311.26
10,57,Female,1,Low,1,4161.68,4,1755.2,23,222.45,0,31.48,0.6515,0.4958,0.0,0.1147,0.155,0.042,3.26,0.0688,0,7.04,3,0.4931,1,0.0921,0.7904,128,1,Casual,0.1085,0.2849,0.591,0.0156,3,3,0.8148,6518.58
