Age,Bought
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
10,0
10,0
10,0
10,0
10,0
10,0
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
11,0
11,0
11,0
11,0
11,1
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
63,1
48,1
50,1
51,1
52,1
57,1
52,1
42,1
40,1
48,1
41,1
41,1
46,1
55,1
41,1
65,1
52,1
56,1
46,1
50,1
64,1
52,1
59,1
59,1
64,1
59,1
57,1
42,1
43,1
65,1
65,1
43,1
40,1
54,1
64,1
41,1
63,1
50,1
55,1
54,1
49,1
57,1
63,0
55,1
50,0
46,1
42,1
58,1
41,1
53,1
65,1
40,1
64,1
52,1
59,1
65,1
58,1
61,1
59,1
40,1
65,1
54,1
45,1
57,1
49,1
58,1
42,1
55,1
65,1
58,1
54,1
65,1
48,1
50,1
44,1
58,1
41,1
43,1
54,1
53,1
43,1
40,1
61,1
54,1
61,1
58,1
47,1
40,1
45,1
60,1
47,1
44,1
57,1
48,1
52,1
50,1
51,1
48,1
63,1
53,1
57,1
47,1
65,1
61,1
43,1
53,1
52,1
53,1
50,1
45,1
43,1
49,1
41,1
55,1
40,1
41,1
50,1
62,1
54,1
65,1
63,1
48,1
49,1
62,1
41,1
40,1
54,1
52,1
49,1
62,1
55,1
46,1
61,1
52,1
40,1
50,1
45,1
48,1
57,1
55,1
42,1
58,1
45,1
64,1
47,1
48,1
54,1
51,1
43,1
61,1
60,1
63,1
65,1
41,1
62,1
61,1
41,1
63,1
42,0
65,1
55,1
56,1
51,1
46,1
42,1
55,1
40,1
58,1
54,1
42,1
65,1
43,1
42,1
56,1
52,1
58,1
40,1
61,1
57,1
64,1
41,1
62,1
55,1
45,1
53,1
64,1
40,1
48,1
54,1
43,1
45,1
54,1
40,1
55,1
54,1
47,1
59,1
63,1
58,1
47,1
41,1
55,1
43,0
60,1
63,1
50,0
61,1
