Unique_id,AD_ID,Date,Time,Client Product Code,Product ID,Network ID,Length,Orders
SPYMYA2MC038416440.333333333333333,SPYMYA2MC038,1/5/2014,8:00 AM,MSDR02,SPYMYA,HIST,120,1
SPYMYA2MC038416440.416666666666667,SPYMYA2MC038,1/5/2014,10:00 AM,MSDR02,SPYMYA,HIST,120,1
SPYMYA2MC038416440.458333333333333,SPYMYA2MC038,1/5/2014,11:00 AM,MSDR02,SPYMYA,HIST,120,2
SPYMYA2MC038416440,SPYMYA2MC038,1/5/2014,12:00 AM,MSDR02,SPYMYA,HIST,120,2
SPYMYA2MC038416440.541666666666667,SPYMYA2MC038,1/5/2014,1:00 PM,MSDR02,SPYMYA,HIST,120,1
SPYMYA2MC038416440.583333333333333,SPYMYA2MC038,1/5/2014,2:00 PM,MSDR02,SPYMYA,HIST,120,1
SPYMYA2MC038416440.833333333333333,SPYMYA2MC038,1/5/2014,8:00 PM,MSDR02,SPYMYA,HIST,120,1
SPYMYA2ME014H416440.416666666666667,SPYMYA2ME014H,1/5/2014,10:00 AM,MSDR02,SPYMYA,FAM,120,1
SPYMYA2ME014H416440.541666666666667,SPYMYA2ME014H,1/5/2014,1:00 PM,MSDR02,SPYMYA,FAM,120,5
SPYMYA2ME014H416440.583333333333333,SPYMYA2ME014H,1/5/2014,2:00 PM,MSDR02,SPYMYA,FAM,120,1
SPYMYA2ME014H416440.708333333333333,SPYMYA2ME014H,1/5/2014,5:00 PM,MSDR02,SPYMYA,FAM,120,1
SPYMYA60A030416440.625,SPYMYA60A030,1/5/2014,3:00 PM,MSDR02,SPYMYA,TRAV,60,1
SPYMYA60A030416440.916666666666667,SPYMYA60A030,1/5/2014,10:00 PM,MSDR02,SPYMYA,TRAV,60,1
SPYMYA60C006416440.916666666666667,SPYMYA60C006,1/5/2014,10:00 PM,MSDR02,SPYMYA,NKTNS,60,1
SPYMYA2MC016416440.416666666666667,SPYMYA2MC016,1/5/2014,10:00 AM,MSDR02,SPYMYA,DIY,120,2
SPYMYA2MC016416440.458333333333333,SPYMYA2MC016,1/5/2014,11:00 AM,MSDR02,SPYMYA,DIY,120,7
SPYMYA2MC016416440.583333333333333,SPYMYA2MC016,1/5/2014,2:00 PM,MSDR02,SPYMYA,DIY,120,1
SPYMYA2MC013416440,SPYMYA2MC013,1/5/2014,12:00 AM,MSDR02,SPYMYA,SOAP,120,1
SPYMYA2MC011416440.75,SPYMYA2MC011,1/5/2014,6:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416440.916666666666667,SPYMYA2MC011,1/5/2014,10:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA60B001416440.458333333333333,SPYMYA60B001,1/5/2014,11:00 AM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B001416440.541666666666667,SPYMYA60B001,1/5/2014,1:00 PM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B001416440.625,SPYMYA60B001,1/5/2014,3:00 PM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B001416440.833333333333333,SPYMYA60B001,1/5/2014,8:00 PM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA2MC071416440.833333333333333,SPYMYA2MC071,1/5/2014,8:00 PM,MSDR02,SPYMYA,CHIL,120,2
SPYMYA2MC071416440.875,SPYMYA2MC071,1/5/2014,9:00 PM,MSDR02,SPYMYA,CHIL,120,2
SPYMYA2MC071416440.916666666666667,SPYMYA2MC071,1/5/2014,10:00 PM,MSDR02,SPYMYA,CHIL,120,1
SPYMYA60A009416440.416666666666667,SPYMYA60A009,1/5/2014,10:00 AM,MSDR02,SPYMYA,HIST,60,4
SPYMYA60A009416440.625,SPYMYA60A009,1/5/2014,3:00 PM,MSDR02,SPYMYA,HIST,60,6
SPYMYA60A009416440.666666666666667,SPYMYA60A009,1/5/2014,4:00 PM,MSDR02,SPYMYA,HIST,60,3
SPYMYA2MC022416440.458333333333333,SPYMYA2MC022,1/5/2014,11:00 AM,MSDR02,SPYMYA,GAC,120,2
SPYMYA2MC022416440,SPYMYA2MC022,1/5/2014,12:00 AM,MSDR02,SPYMYA,GAC,120,1
SPYMYA2MC022416440.708333333333333,SPYMYA2MC022,1/5/2014,5:00 PM,MSDR02,SPYMYA,GAC,120,1
SPYMYA60A011416440.458333333333333,SPYMYA60A011,1/5/2014,11:00 AM,MSDR02,SPYMYA,CNBC,60,1
SPYMYA2MC031416440,SPYMYA2MC031,1/5/2014,12:00 AM,MSDR02,SPYMYA,BIO,120,2
SPYMYA2MC031416440.541666666666667,SPYMYA2MC031,1/5/2014,1:00 PM,MSDR02,SPYMYA,BIO,120,1
SPYMYA2MC031416440.875,SPYMYA2MC031,1/5/2014,9:00 PM,MSDR02,SPYMYA,BIO,120,3
SPYMYA2MC051416440.458333333333333,SPYMYA2MC051,1/5/2014,11:00 AM,MSDR02,SPYMYA,ESPN,120,1
SPYMYA2MC074416440.333333333333333,SPYMYA2MC074,1/5/2014,8:00 AM,MSDR02,SPYMYA,MET,120,1
SPYMYA2MC032416440.416666666666667,SPYMYA2MC032,1/5/2014,10:00 AM,MSDR02,SPYMYA,CNTRC,120,1
SPYMYA2MC032416440.666666666666667,SPYMYA2MC032,1/5/2014,4:00 PM,MSDR02,SPYMYA,CNTRC,120,1
SPYMYA2MC076416440.583333333333333,SPYMYA2MC076,1/5/2014,2:00 PM,MSDR02,SPYMYA,TVL,120,1
SPYMYA2MC041416440.583333333333333,SPYMYA2MC041,1/5/2014,2:00 PM,MSDR02,SPYMYA,AMC,120,1
SPYMYA2ME002H416440.416666666666667,SPYMYA2ME002H,1/5/2014,10:00 AM,MSDR02,SPYMYA,DXD,120,2
SPYMYA2ME002H416440,SPYMYA2ME002H,1/5/2014,12:00 AM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416440.583333333333333,SPYMYA2ME002H,1/5/2014,2:00 PM,MSDR02,SPYMYA,DXD,120,3
SPYMYA2ME002H416440.625,SPYMYA2ME002H,1/5/2014,3:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416440.791666666666667,SPYMYA2ME002H,1/5/2014,7:00 PM,MSDR02,SPYMYA,DXD,120,2
SPYMYA2ME002H416440.875,SPYMYA2ME002H,1/5/2014,9:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME009416440.625,SPYMYA2ME009,1/5/2014,3:00 PM,MSDR02,SPYMYA,NKTNS,120,1
SPYMYA60C002H416440,SPYMYA60C002H,1/5/2014,12:00 AM,MSDR02,SPYMYA,DXD,60,1
SPYMYA60C002H416440.833333333333333,SPYMYA60C002H,1/5/2014,8:00 PM,MSDR02,SPYMYA,DXD,60,1
SPYMYA2MC037416440.416666666666667,SPYMYA2MC037,1/5/2014,10:00 AM,MSDR02,SPYMYA,NAN,120,1
SPYMYA60A008416440.708333333333333,SPYMYA60A008,1/5/2014,5:00 PM,MSDR02,SPYMYA,NAN,60,1
SPYMYA60C004H416440.708333333333333,SPYMYA60C004H,1/5/2014,5:00 PM,MSDR02,SPYMYA,HUB,60,1
SPYMYA60A010416440,SPYMYA60A010,1/5/2014,12:00 AM,MSDR02,SPYMYA,DIY,60,1
