Unique_id,AD_ID,Air Date,Air Time,Time Zone,Client Product Code,Product ID,Length,Network ID,Network Name,Network Type,Network DMA,Network Feed,HH Impressions,HH Ratings,Spot Cost,Spot Cost Discounted
SPYMYA2MC009416440.0479166666666667,SPYMYA2MC009,1/5/2014,1:09 AM,EST,MSDR02,SPYMYA,120,TRAV,Travel,Cable,National,D,348,0.3,0,0
SPYMYA60A010416440.0534722222222222,SPYMYA60A010,1/5/2014,1:17 AM,EST,MSDR02,SPYMYA,60,DIY,DIY,Cable,National,L,72,0.06,0,0
SPYMYA60A030416440.0631944444444444,SPYMYA60A030,1/5/2014,1:31 AM,EST,MSDR02,SPYMYA,60,TRAV,Travel,Cable,National,D,348,0.3,,0
SPYMYA2MC031416440.0743055555555556,SPYMYA2MC031,1/5/2014,1:47 AM,EST,MSDR02,SPYMYA,120,BIO,Biography,Cable,National,L,111,0.1,0,0
SPYMYA2ME010416440.0743055555555556,SPYMYA2ME010,1/5/2014,1:47 AM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,146,0.13,50,47.5
SPYMYA60B024416440.1125,SPYMYA60B024,1/5/2014,2:42 AM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,41,0.04,20,19
SPYMYA2MC032416440.119444444444444,SPYMYA2MC032,1/5/2014,2:52 AM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,62,0.05,45,42.75
SPYMYA2MC086416440.121527777777778,SPYMYA2MC086,1/5/2014,2:55 AM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,,0
SPYMYA60C002H416440.125694444444444,SPYMYA60C002H,1/5/2014,3:01 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,234,0.2,15,14.25
SPYMYA60A017416440.15,SPYMYA60A017,1/5/2014,3:36 AM,EST,MSDR02,SPYMYA,60,ESPN,ESPN,Cable,National,L,581,0.5,100,95
SPYMYA2MC074416440.176388888888889,SPYMYA2MC074,1/5/2014,4:14 AM,EST,MSDR02,SPYMYA,120,MET,MeTV,Cable,National,,195,0.17,300,285
SPYMYA60C004H416440.202777777777778,SPYMYA60C004H,1/5/2014,4:52 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,50,0.04,5,4.75
SPYMYA60C002H416440.259027777777778,SPYMYA60C002H,1/5/2014,6:13 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,182,0.16,75,71.25
SPYMYA2MC071416440.2875,SPYMYA2MC071,1/5/2014,6:54 AM,EST,MSDR02,SPYMYA,120,CHIL,Chiller,Cable,National,L,32,0.03,60,57
SPYMYA60B024416440.305555555555556,SPYMYA60B024,1/5/2014,7:20 AM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,17,0.01,15,14.25
SPYMYA2MC071416440.329861111111111,SPYMYA2MC071,1/5/2014,7:55 AM,EST,MSDR02,SPYMYA,120,CHIL,Chiller,Cable,National,L,30,0.03,60,57
SPYMYA60C001H416440.343055555555556,SPYMYA60C001H,1/5/2014,8:14 AM,EST,MSDR02,SPYMYA,60,TOON,Cartoon Network,Cable,National,D,468,0.4,300,285
SPYMYA60B024416440.364583333333333,SPYMYA60B024,1/5/2014,8:45 AM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,35,0.03,15,14.25
SPYMYA2MC050416440.377777777777778,SPYMYA2MC050,1/5/2014,9:04 AM,EST,MSDR02,SPYMYA,120,AEN,A&E,Cable,National,D,620,0.54,2000,1900
SPYMYA2ME014H416440.418055555555556,SPYMYA2ME014H,1/5/2014,10:02 AM,EST,MSDR02,SPYMYA,120,FAM,ABC Family,Cable,National,D,447,0.39,1000,950
