"","cust_id","act_active_dt","package_id","bill_zip","customer_segment","status","bill_amt"
"1",9243148228,"6/22/2006",54518,560095,"S","ACTIVE",561.8
"2",9243264060,"6/23/2006",617691,580029,"S","ACTIVE",224.35
"3",8951061271,"8/14/2010",616488,560037,"F","ACTIVE",1689.04
"4",8951033996,"6/26/2010",616488,560062,"R","ACTIVE",344.04
"5",9241079722,"9/30/2005",614975,560017,"G - TC","ACTIVE",478.33
"6",8472656385,"12/22/2005",605662,585101,"S","ACTIVE",199.08
"7",9243145255,"5/4/2006",619979,560001,"G - TC","ACTIVE",504.5
"8",9243145259,"5/4/2006",619979,560001,"G - TC","ACTIVE",504.49
"9",9243148330,"5/4/2006",619979,560001,"G - TC","ACTIVE",504.5
"10",9243148339,"5/4/2006",619979,560001,"G - TC","ACTIVE",504.5
"11",8064504362,"6/15/2006",14183,560032,"B","ACTIVE",202.25
"12",9243141071,"6/22/2006",54518,560095,"S","ACTIVE",561.8
"13",9243149024,"7/10/2006",611309,560034,"S","ACTIVE",842.7
"14",9243222455,"8/17/2006",615242,590001,"G","ACTIVE",403.73
"15",8064516240,"8/17/2006",605662,560048,"B","ACTIVE",48.31
"16",9243520052,"8/18/2006",13138,570016,"G - TC","ACTIVE",1451.7
"17",9243520063,"8/18/2006",614848,570016,"G - TC","ACTIVE",167.42
"18",9243462621,"8/24/2006",614847,560017,"G - TC","ACTIVE",672.48
"19",1008018294,"10/25/2009",610487,560001,"G - TC","ACTIVE",2772.28
"20",1008018295,"10/30/2009",610487,560001,"G - TC","ACTIVE",2772.28
"21",8123457355,"7/5/2012",625572,560048,"Y","ACTIVE",5769.69
"22",7204011315,"1/25/2012",625572,560068,"N","ACTIVE",0
"23",8050483264,"11/15/2011",625572,560102,"Y","ACTIVE",14.94
"24",7204032716,"9/16/2011",625572,560038,"Y","ACTIVE",208.08
"25",7204140026,"11/4/2011",625572,560037,"N","OGB",0
"26",7795065060,"1/22/2012",622478,560053,"F","TSP",336.74
"27",8867864844,"3/29/2011",621000,560043,"F","ACTIVE",1432.59
"28",7204266296,"5/16/2012",621000,560037,"M","ACTIVE",1320.23
"29",8867887451,"3/1/2011",621000,560102,"F","ACTIVE",1432.59
"30",7411185298,"3/16/2011",621000,560034,"F","OGB",1432.59
"31",8867872848,"2/25/2011",621000,560040,"F","ACTIVE",1432.59
"32",8792284199,"3/6/2011",621000,560094,"F","ACTIVE",1432.59
"33",8792286874,"1/25/2011",621000,560016,"F","ACTIVE",1526.41
"34",7204658232,"5/2/2011",628562,560045,"F","TSP",533.71
"35",8050069668,"6/25/2012",623511,560078,"Y","ACTIVE",246.31
"36",9036005088,"1/18/2012",623511,560078,"R","ACTIVE",21.91
"37",8904035308,"8/2/2011",623511,560098,"R","ACTIVE",84.27
"38",9986453571,"8/17/2011",623511,575005,"F","ACTIVE",801.02
"39",8050068979,"12/5/2011",623511,560047,"R","ACTIVE",58.65
"40",9886781830,"8/12/2011",623511,560093,"F","ACTIVE",622.98
"41",9164842916,"7/26/2011",623511,560093,"R","ACTIVE",1434.82
"42",7204093938,"6/14/2012",623511,575008,"Y","ACTIVE",50.71
"43",8904069669,"2/28/2012",623511,560078,"R","ACTIVE",126.29
"44",9035018242,"3/13/2012",623511,560016,"Y","ACTIVE",84.27
"45",8904008631,"9/6/2011",623511,560025,"R","ACTIVE",42.98
"46",9620049500,"7/22/2011",623511,560075,"F","ACTIVE",1280.34
