comp_id,month,incident,cust_id,sla status new,incident type,type,severity
318691791,12-Jul,7/22/2012,9243584301,ClosedIN SLA,Customer Communication,VAS-OTHERS,High
318691795,12-Jul,7/22/2012,9243584297,ClosedIN SLA,Customer Communication,VAS-OTHERS,High
318691807,12-Jul,7/22/2012,9243584279,ClosedIN SLA,Customer Communication,VAS-OTHERS,High
318691809,12-Jul,7/22/2012,9243584277,ClosedIN SLA,Customer Communication,VAS-OTHERS,High
317997895,12-Jul,7/17/2012,9282441943,ClosedIN SLA,Barring/Unbarring,VAS-OTHERS,High
318030735,12-Jul,7/17/2012,7204112312,ClosedIN SLA,Name/Address Modification,1515,Low
317909185,12-Jul,7/16/2012,7204306760,ClosedIN SLA,GSM Complaint on Network 3G,TECH,High
318750517,12-Jul,7/22/2012,9036843201,ClosedIN SLA,GSM Complaint on Network,TECH,Medium
319169851,12-Jul,7/25/2012,7204306760,ClosedIN SLA,GSM Complaint on Network 3G,TECH,High
318026241,12-Jul,7/17/2012,7204147184,ClosedIN SLA,GSM Complaint on Network 3G,TECH,Low
319504737,12-Jul,7/27/2012,7204107914,OpenIN SLA,Customer Communication,VAS-OTHERS,F
319504743,12-Jul,7/27/2012,7204107920,OpenIN SLA,Customer Communication,VAS-OTHERS,F
317489651,12-Jul,7/13/2012,8123703681,ClosedIN SLA,Re-verification of address,VAS-OTHERS,High
319803057,12-Jul,7/28/2012,8123530244,OpenIN SLA,Customer Communication,VAS-OTHERS,High
319974349,12-Jul,7/30/2012,8123530244,OpenIN SLA,Customer Communication,VAS-OTHERS,High
318082737,12-Jul,7/17/2012,7411001096,OpenIN SLA,GSM SIM Change,VAS-OTHERS,Medium
318082013,12-Jul,7/17/2012,7411001096,ClosedOUT OF SLA,GSM SIM Change,VAS-OTHERS,High
317828673,12-Jul,7/16/2012,7204266559,OpenOUT OF SLA,Customer Communication,VAS-OTHERS,F
315871099,12-Jul,7/1/2012,7204032004,ClosedIN SLA,Feature VAS Subscription,CB VAS,High
317375903,12-Jul,7/12/2012,9036038555,ClosedIN SLA,Barring/Unbarring,VAS-OTHERS,High
320217063,12-Jul,7/31/2012,9980561254,ClosedOUT OF SLA,Barring/Unbarring,VAS-OTHERS,Low
318361409,12-Jul,7/19/2012,9008309034,OpenIN SLA,Blackberry Services,CB VAS,Low
318361529,12-Jul,7/19/2012,9008309035,OpenIN SLA,Blackberry Services,CB VAS,High
318296871,12-Jul,7/19/2012,9620212390,OpenIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
318295069,12-Jul,7/19/2012,9620212390,OpenIN SLA,Feature VAS Subscription,CB VAS,High
318375333,12-Jul,7/19/2012,9008309034,OpenIN SLA,Feature VAS Subscription,CB VAS,High
318762063,12-Jul,7/22/2012,9008309033,OpenIN SLA,Blackberry Services,CB VAS,High
318790603,12-Jul,7/23/2012,9008309035,OpenIN SLA,Feature VAS Subscription,CB VAS,High
319244195,12-Jul,7/25/2012,9008309033,OpenIN SLA,Feature VAS Subscription,CB VAS,High
320233455,12-Jul,7/31/2012,9008309033,OpenIN SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
320233579,12-Jul,7/31/2012,9008309035,OpenIN SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
320233661,12-Jul,7/31/2012,9008309034,OpenIN SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
320233809,12-Jul,7/31/2012,9008309035,OpenIN SLA,Feature ISD & Int. Roaming,CB VAS,High
320233921,12-Jul,7/31/2012,9008309033,OpenIN SLA,Feature ISD & Int. Roaming,CB VAS,High
320234071,12-Jul,7/31/2012,9008309034,OpenIN SLA,Feature ISD & Int. Roaming,CB VAS,High
320308567,12-Jul,7/31/2012,9008309033,OpenOUT OF SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
320308643,12-Jul,7/31/2012,9008309035,OpenOUT OF SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
320308709,12-Jul,7/31/2012,9008309034,OpenOUT OF SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
319377907,12-Jul,7/26/2012,9008309034,ClosedIN SLA,GSM Complaint on Network,TECH,High
319522813,12-Jul,7/27/2012,9008309035,ClosedIN SLA,GSM Complaint on Network,TECH,High
318269333,12-Jul,7/19/2012,9008309033,ClosedIN SLA,Act/De Act GSM 3G Services,VAS-OTHERS,Low
318276817,12-Jul,7/19/2012,9008309035,ClosedIN SLA,Customer Communication,VAS-OTHERS,High
318740627,12-Jul,7/22/2012,9008309033,ClosedIN SLA,Act/De Act GSM 3G Services,VAS-OTHERS,High
320236055,12-Jul,7/31/2012,9620212390,OpenIN SLA,MNP Retention,VAS-OTHERS,High
315981511,12-Jul,7/2/2012,9035010105,ClosedIN SLA,Blackberry Services,CB VAS,Medium
319563857,12-Jul,7/27/2012,9035010105,ClosedIN SLA,GSM Complaint on Network,TECH,High
320248545,12-Jul,7/31/2012,9845923469,OpenIN SLA,GSM Complaint on Network,TECH,High
318515389,12-Jul,7/20/2012,7411061559,OpenIN SLA,Feature ISD & Int. Roaming,CB VAS,High
318860027,12-Jul,7/23/2012,7411061559,ClosedIN SLA,GSM Complaint on Network,TECH,High
319188107,12-Jul,7/25/2012,7411061559,ClosedIN SLA,Barring/Unbarring,VAS-OTHERS,High
318515455,12-Jul,7/20/2012,7411061559,OpenOUT OF SLA,Customer Communication,VAS-OTHERS,C
318353399,12-Jul,7/19/2012,8792008514,OpenIN SLA,Blackberry Services,CB VAS,Low
318354599,12-Jul,7/19/2012,8792008514,OpenOUT OF SLA,General SR,CB VAS,Low
316392645,12-Jul,7/5/2012,9243341116,ClosedIN SLA,MNP Port-out,VAS-OTHERS,High
317900069,12-Jul,7/16/2012,9243433290,OpenIN SLA,Cancellation Request,VAS-OTHERS,High
320285441,12-Jul,7/31/2012,9243347003,OpenIN SLA,Cancellation Request,VAS-OTHERS,High
317489239,12-Jul,7/13/2012,9243188521,ClosedIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317489509,12-Jul,7/13/2012,9243188525,ClosedIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317490741,12-Jul,7/13/2012,9243188522,ClosedIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317530581,12-Jul,7/13/2012,9243188521,OpenIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317530669,12-Jul,7/13/2012,9243188525,OpenIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317531011,12-Jul,7/13/2012,9243188522,OpenIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317520257,12-Jul,7/13/2012,9243188525,OpenIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317520259,12-Jul,7/13/2012,9243188522,OpenIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317520283,12-Jul,7/13/2012,9243188521,OpenIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317531403,12-Jul,7/13/2012,9243188525,OpenIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317531409,12-Jul,7/13/2012,9243188522,OpenIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317613539,12-Jul,7/14/2012,9243188521,ClosedIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317912263,12-Jul,7/16/2012,9243188521,OpenIN SLA,CRBT/Call Me Tune Act/Deact,CB VAS,High
317912981,12-Jul,7/16/2012,9243188521,ClosedIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
317531407,12-Jul,7/13/2012,9243188521,ClosedIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
316559497,12-Jul,7/6/2012,9243102772,ClosedIN SLA,Billing  Adjustments,1515,A
319527531,12-Jul,7/27/2012,9243102772,OpenIN SLA,Complaint on Billing,BILLING,High
319036723,12-Jul,7/24/2012,9243102772,ClosedIN SLA,Change Of Package,CB VAS,High
316384471,12-Jul,7/5/2012,9243102772,ClosedIN SLA,Complaint on Agency,NON TECH,High
319438633,12-Jul,7/27/2012,9243310622,OpenOUT OF SLA,Billing  Adjustments,1515,High
318757065,12-Jul,7/22/2012,9243310622,ClosedIN SLA,Complaint on Billing,BILLING,High
316471055,12-Jul,7/5/2012,67122300,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
316471113,12-Jul,7/5/2012,67122301,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
316472625,12-Jul,7/5/2012,67122304,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
316472865,12-Jul,7/5/2012,67122305,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
316473047,12-Jul,7/5/2012,67122307,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
316473103,12-Jul,7/5/2012,67122306,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
316473273,12-Jul,7/5/2012,67122304,ClosedIN SLA,Call Hunting for Wdx Cntx Wln,CB VAS,High
318574321,12-Jul,7/21/2012,67122336,ClosedIN SLA,Feature Centrex and Widex,CB VAS,High
316162313,12-Jul,7/3/2012,66104104,ClosedIN SLA,Shift Premises,CB VAS,High
316164071,12-Jul,7/3/2012,66104105,ClosedIN SLA,Shift Premises,CB VAS,High
316164665,12-Jul,7/3/2012,66104106,ClosedIN SLA,Shift Premises,CB VAS,High
316164841,12-Jul,7/3/2012,66104108,ClosedIN SLA,Shift Premises,CB VAS,High
316165103,12-Jul,7/3/2012,66104109,ClosedIN SLA,Shift Premises,CB VAS,High
316165295,12-Jul,7/3/2012,66104115,ClosedIN SLA,Shift Premises,CB VAS,High
316165619,12-Jul,7/3/2012,66104223,ClosedIN SLA,Shift Premises,CB VAS,High
316165853,12-Jul,7/3/2012,66104225,ClosedIN SLA,Shift Premises,CB VAS,High
316166015,12-Jul,7/3/2012,66104227,ClosedIN SLA,Shift Premises,CB VAS,High
316166229,12-Jul,7/3/2012,66104235,ClosedIN SLA,Shift Premises,CB VAS,High
316975037,12-Jul,7/10/2012,66963992,ClosedIN SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
317469965,12-Jul,7/13/2012,66963158,ClosedIN SLA,Feature - Calling Level Change,CB VAS,High
317886433,12-Jul,7/16/2012,66103709,ClosedIN SLA,Feature Centrex and Widex,CB VAS,High
320359193,12-Jul,7/31/2012,66104500,OpenIN SLA,Feature - Calling Level Change,CB VAS,High
315964689,12-Jul,7/2/2012,66172161,ClosedIN SLA,Feature CRBT/Call Me Tune,CB VAS,High
316722131,12-Jul,7/7/2012,66669442,ClosedIN SLA,Feature - Calling Level Change,CB VAS,High
317646955,12-Jul,7/14/2012,66990113,ClosedIN SLA,Feature - Calling Level Change,CB VAS,High
317648207,12-Jul,7/14/2012,66990113,ClosedIN SLA,Feature Centrex and Widex,CB VAS,High
317841277,12-Jul,7/16/2012,67132589,ClosedIN SLA,Feature - Calling Level Change,CB VAS,High
318881267,12-Jul,7/23/2012,66172054,ClosedIN SLA,Shift Premises,CB VAS,High
318881965,12-Jul,7/23/2012,66172157,ClosedIN SLA,Shift Premises,CB VAS,High
319371879,12-Jul,7/26/2012,67132590,ClosedIN SLA,Feature - Calling Level Change,CB VAS,High
320075539,12-Jul,7/30/2012,66172027,OpenIN SLA,Shift Premises,CB VAS,High
316975487,12-Jul,7/10/2012,66963992,ClosedOUT OF SLA,Feature- 3Way/Multiparty Conf,CB VAS,High
316975185,12-Jul,7/10/2012,66963992,ClosedOUT OF SLA,Feature ISD & Int. Roaming,CB VAS,High
316034621,12-Jul,7/2/2012,67128607,OpenOUT OF SLA,General SR,CB VAS,High
319306077,12-Jul,7/26/2012,66104257,OpenOUT OF SLA,Shift Premises,CB VAS,High
319307753,12-Jul,7/26/2012,66104258,OpenOUT OF SLA,Shift Premises,CB VAS,High
319308333,12-Jul,7/26/2012,66104340,OpenOUT OF SLA,Shift Premises,CB VAS,High
319308581,12-Jul,7/26/2012,66104345,OpenOUT OF SLA,Shift Premises,CB VAS,High
319309287,12-Jul,7/26/2012,66104354,OpenOUT OF SLA,Shift Premises,CB VAS,High
319309803,12-Jul,7/26/2012,66104340,OpenOUT OF SLA,Shift Premises,CB VAS,High
319311545,12-Jul,7/26/2012,66104408,OpenOUT OF SLA,Shift Premises,CB VAS,High
