Stock Name,BSE Code,Stock Code,ISIN
20 Microns Ltd.,533022,20MICRONS,INE144J01027
360 One Wam Ltd.,542772,360ONE,INE466L01038
3B BlackBio Dx Ltd.,532067,3BBLACKBIO,INE994E01018
3M India Ltd.,523395,3MINDIA,INE470A01017
5Paisa Capital Ltd.,540776,5PAISA,INE618L01018
63 Moons Technologies Ltd.,526881,63MOONS,INE111B01023
A-1 Ltd.,542012,A1L,INE911Z01017
Aadhar Housing Finance Ltd.,544176,AADHARHFC,INE883F01010
Aarti Drugs Ltd.,524348,AARTIDRUGS,INE767A01016
Aarti Industries Ltd.,524208,AARTIIND,INE769A01020
Aarti Pharmalabs Ltd.,543748,AARTIPHARM,INE0LRU01027
Aavas Financiers Ltd.,541988,AAVAS,INE216P01012
Aayush Art and Bullion Ltd.,540718,AAYUSHBULL,INE777X01017
AB Cotspin India Ltd.,,ABCOTS,INE08PH01015
Abans Financial Services Ltd.,543712,AFSL,INE00ZE01026
ABB India Ltd.,500002,ABB,INE117A01022
Abbott India Ltd.,500488,ABBOTINDIA,INE358A01014
ACC Ltd.,500410,ACC,INE012A01025
Accelya Solutions India Ltd.,532268,ACCELYA,INE793A01012
ACME Solar Holdings Ltd.,544283,ACMESOLAR,INE622W01025
Action Construction Equipment Ltd.,532762,ACE,INE731H01025
Adani Energy Solutions Ltd.,539254,ADANIENSOL,INE931S01010
Adani Enterprises Ltd.,512599,ADANIENT,INE423A01024
Adani Green Energy Ltd.,541450,ADANIGREEN,INE364U01010
Adani Ports & Special Economic Zone Ltd.,532921,ADANIPORTS,INE742F01042
Adani Power Ltd.,533096,ADANIPOWER,INE814H01011
Adani Total Gas Ltd.,542066,ATGL,INE399L01023
ADC India Communications Ltd.,523411,ADCINDIA,INE833A01016
ADF Foods Ltd.,519183,ADFFOODS,INE982B01027
Aditya Birla Capital Ltd.,540691,ABCAPITAL,INE674K01013
Aditya Birla Fashion and Retail Ltd.,535755,ABFRL,INE647O01011
Aditya Birla Money Ltd.,532974,BIRLAMONEY,INE865C01022
Aditya Birla Real Estate Ltd.,500040,ABREL,INE055A01016
Aditya Birla Sun Life AMC Ltd.,543374,ABSLAMC,INE404A01024
Aditya Vision Ltd.,540205,AVL,INE679V01027
Ador Welding Ltd.,517041,ADOR,INE045A01017
Advait Energy Transitions Ltd.,543230,ADVAIT,INE0ALI01010
Advanced Enzyme Technologies Ltd.,540025,ADVENZYMES,INE837H01020
Advani Hotels & Resorts (India) Ltd.,523269,ADVANIHOTR,INE199C01026
Aegis Logistics Ltd.,500003,AEGISLOG,INE208C01025
Aeroflex Industries Ltd.,543972,AEROFLEX,INE024001021
Aether Industries Ltd.,543534,AETHER,INE0BWX01014
Afcom Holdings Ltd.,544224,AFCOM,INE0OXY01013
Afcons Infrastructure Ltd.,544280,AFCONS,INE101I01011
Affle (India) Ltd.,542752,AFFLE,INE00WC01027
Agarwal Industrial Corporation Ltd.,531921,AGARIND,INE204E01012
AGI Greenpac Ltd.,500187,AGI,INE415A01038
AGI Infra Ltd.,539042,AGIIL,INE976R01025
Ahluwalia Contracts (India) Ltd.,532811,AHLUCONT,INE758C01029
AIA Engineering Ltd.,532683,AIAENG,INE212H01026
Aimtron Electronics Ltd.,,AIMTRON,INE0RUV01018
Ajanta Pharma Ltd.,532331,AJANTPHARM,INE031B01049
Ajax Engineering Ltd.,544356,AJAXENGG,INE274Y01021
Ajmera Realty & Infra India Ltd.,513349,AJMERA,INE298G01027
AK Capital Services Ltd.,530499,AKCAPIT,INE701G01012
Akums Drugs & Pharmaceuticals Ltd.,544222,AKUMS,INE09XN01023
Akzo Nobel India Ltd.,500710,AKZOINDIA,INE133A01011
Alembic Ltd.,506235,ALEMBICLTD,INE426A01027
Alembic Pharmaceuticals Ltd.,533573,APLLTD,INE901L01018
Algoquant Fintech Ltd.,505725,AQFINTECH,INE598D01027
Alicon Castalloy Ltd.,531147,ALICON,INE062D01024
Alivus Life Sciences Ltd.,543322,ALIVUS,INE03Q201024
Alkem Laboratories Ltd.,539523,ALKEM,INE540L01014
Alkyl Amines Chemicals Ltd.,506767,ALKYLAMINE,INE150B01039
All e Technologies Ltd.,,ALLETEC,INE0M2X01012
Allcargo Gati Ltd.,532345,ACLGATI,INE152B01027
Allcargo Logistics Ltd.,532749,ALLCARGO,INE418H01029
Allcargo Terminals Ltd.,543954,ATL,INE0NN701020
Alldigi Tech Ltd.,532633,ALLDIGI,INE835G01018
Allied Blenders & Distillers Ltd.,544203,ABDL,INE552Z01027
Allied Digital Services Ltd.,532875,ADSL,INE102I01027
Alok Industries Ltd.,521070,ALOKINDS,INE270A01029
Alpex Solar Ltd.,,ALPEXSOLAR,INE0R4701017
Alphalogic Techsys Ltd.,542770,ALPHALOGIC,INE08E401029
Amal Ltd.,506597,AMAL,INE841D01013
Amara Raja Energy & Mobility Ltd.,500008,ARE&M,INE885A01032
Amber Enterprises India Ltd.,540902,AMBER,INE371P01015
Ambika Cotton Mills Ltd.,531978,AMBIKCO,INE540G01014
Ambuja Cements Ltd.,500425,AMBUJACEM,INE079A01024
Ami Organics Ltd.,543349,AMIORG,INE00FF01017
AMIC Forging Ltd.,544037,AMIC,INE0P9J01013
Amines & Plasticizers Ltd.,506248,AMNPLST,INE275D01022
Amrutanjan Health Care Ltd.,590006,AMRUTANJAN,INE098F01031
Anand Rathi Wealth Ltd.,543415,ANANDRATHI,INE463V01026
Anant Raj Ltd.,515055,ANANTRAJ,INE242C01024
Andhra Cements Ltd.,532141,ACL,INE666E01020
Andhra Paper Ltd.,502330,ANDHRAPAP,INE435A01051
